time,robot_x,robot_y,robot_z,synthetic_coverage,observed_coverage,observed_voxels,free_voxels,occupied_voxels,unknown_voxels,frontier_count,path_length,sensor_cloud_points,mapping_source,environment_model
1780144277.009,-23.817,-46.018,1.600,0.030493,0.030493,282,249,33,8966,139,0.000,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144277.270,-23.817,-46.018,1.600,0.030493,0.030493,282,249,33,8966,139,0.000,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144277.511,-24.283,-45.677,1.600,0.039792,0.039792,368,328,40,8880,184,0.600,100,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144277.767,-25.025,-45.563,1.600,0.042820,0.042820,396,354,42,8852,194,1.350,106,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144278.020,-25.227,-44.841,1.600,0.047578,0.047578,440,392,48,8808,207,2.100,119,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144278.265,-25.268,-44.242,1.600,0.052768,0.052768,488,436,52,8760,221,2.700,109,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144278.515,-25.444,-43.754,1.600,0.059256,0.059256,548,494,54,8700,247,3.301,95,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144278.770,-26.022,-43.598,1.600,0.063689,0.063689,589,532,57,8659,262,3.900,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144279.021,-26.771,-43.552,1.600,0.074503,0.074503,689,615,74,8559,260,4.650,111,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144279.277,-27.370,-43.530,1.600,0.078828,0.078828,729,648,81,8519,275,5.250,114,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144279.525,-27.970,-43.522,1.600,0.082937,0.082937,767,682,85,8481,296,5.850,120,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144279.774,-28.721,-43.520,1.600,0.086938,0.086938,804,714,90,8444,310,6.600,123,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144280.018,-29.015,-42.997,1.600,0.092669,0.092669,857,765,92,8391,332,7.201,116,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144280.276,-29.383,-42.344,1.600,0.096345,0.096345,891,794,97,8357,343,7.950,125,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144280.525,-29.677,-41.821,1.600,0.100887,0.100887,933,833,100,8315,361,8.550,136,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144280.803,-30.045,-41.167,1.600,0.104455,0.104455,966,865,101,8282,367,9.300,129,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144281.027,-30.339,-40.644,1.600,0.110510,0.110510,1022,919,103,8226,394,9.900,135,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144281.279,-30.707,-39.991,1.600,0.114079,0.114079,1055,946,109,8193,389,10.650,137,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144281.528,-31.001,-39.468,1.600,0.119702,0.119702,1107,997,110,8141,410,11.250,153,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144281.770,-31.295,-38.945,1.600,0.123162,0.123162,1139,1025,114,8109,419,11.850,157,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144282.032,-31.663,-38.292,1.600,0.126622,0.126622,1171,1055,116,8077,428,12.600,154,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144282.275,-31.663,-38.292,1.600,0.126622,0.126622,1171,1055,116,8077,428,12.600,154,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144282.524,-31.418,-37.744,1.600,0.131272,0.131272,1214,1096,118,8034,444,13.200,155,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144282.783,-31.418,-37.744,1.600,0.131272,0.131272,1214,1096,118,8034,444,13.200,155,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144283.026,-30.683,-37.593,1.600,0.141003,0.141003,1304,1178,126,7944,489,13.950,147,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144283.272,-30.087,-37.546,1.600,0.146410,0.146410,1354,1226,128,7894,509,14.550,142,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144283.536,-29.487,-37.528,1.600,0.153655,0.153655,1421,1292,129,7827,544,15.150,132,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144283.784,-28.737,-37.522,1.600,0.160035,0.160035,1480,1349,131,7768,576,15.900,127,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780144284.030,-27.987,-37.520,1.600,0.164684,0.164684,1523,1392,131,7725,598,16.650,136,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
