time,robot_x,robot_y,robot_z,synthetic_coverage,observed_coverage,observed_voxels,free_voxels,occupied_voxels,unknown_voxels,frontier_count,path_length,sensor_cloud_points,mapping_source,environment_model
1780143640.347,-23.817,-46.018,1.600,0.030493,0.030493,282,249,33,8966,139,0.000,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143640.604,-23.817,-46.018,1.600,0.030493,0.030493,282,249,33,8966,139,0.000,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143640.853,-23.923,-45.912,1.600,0.036765,0.036765,340,303,37,8908,174,0.150,103,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143641.104,-24.432,-45.654,1.600,0.040333,0.040333,373,333,40,8875,186,0.750,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143641.356,-24.991,-45.308,1.600,0.045091,0.045091,417,373,44,8831,201,1.500,116,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143641.607,-25.220,-44.753,1.600,0.048010,0.048010,444,396,48,8804,210,2.100,115,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143641.860,-25.279,-44.006,1.600,0.055580,0.055580,514,463,51,8734,241,2.850,103,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143642.109,-25.718,-43.716,1.600,0.060337,0.060337,558,505,53,8690,253,3.450,97,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143642.361,-26.302,-43.598,1.600,0.069529,0.069529,643,583,60,8605,274,4.050,108,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143642.611,-27.049,-43.539,1.600,0.076881,0.076881,711,633,78,8537,268,4.800,114,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143642.860,-27.649,-43.529,1.600,0.080882,0.080882,748,667,81,8500,285,5.400,118,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143643.113,-28.249,-43.521,1.600,0.084343,0.084343,780,694,86,8468,301,6.000,118,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143643.364,-28.847,-43.259,1.600,0.090830,0.090830,840,750,90,8408,331,6.750,119,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143643.612,-29.143,-42.737,1.600,0.094183,0.094183,871,777,94,8377,338,7.350,121,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143643.862,-29.513,-42.084,1.600,0.100022,0.100022,925,826,99,8323,360,8.100,132,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143644.113,-29.809,-41.562,1.600,0.102617,0.102617,949,848,101,8299,368,8.701,137,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143644.394,-30.178,-40.910,1.600,0.108023,0.108023,999,898,101,8249,389,9.450,137,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143644.616,-30.474,-40.388,1.600,0.113214,0.113214,1047,940,107,8201,395,10.050,140,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143644.867,-30.844,-39.735,1.600,0.120134,0.120134,1111,1001,110,8137,423,10.800,151,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143645.116,-31.139,-39.214,1.600,0.123486,0.123486,1142,1028,114,8106,425,11.400,154,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143645.366,-31.435,-38.692,1.600,0.126622,0.126622,1171,1057,114,8077,435,11.999,158,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143645.616,-31.657,-38.300,1.600,0.128460,0.128460,1188,1072,116,8060,439,12.449,154,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143645.868,-31.617,-38.444,1.600,0.128893,0.128893,1192,1076,116,8056,443,12.599,156,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143646.118,-31.415,-39.167,1.600,0.129109,0.129109,1194,1077,117,8054,444,13.349,159,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143646.370,-31.353,-39.012,1.600,0.129433,0.129433,1197,1080,117,8051,446,13.799,158,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143646.618,-31.334,-38.413,1.600,0.130731,0.130731,1209,1092,117,8039,449,14.399,155,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143646.867,-31.051,-37.842,1.600,0.138949,0.138949,1285,1161,124,7963,482,15.149,152,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143647.118,-30.502,-37.599,1.600,0.146194,0.146194,1352,1225,127,7896,509,15.749,144,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
1780143647.370,-29.753,-37.548,1.600,0.155061,0.155061,1434,1304,130,7814,549,16.499,137,simulated_local_sensor_fallback_garage_v1_mesh_bbox,garage_v1
