x,y,z
-23.817,-46.018,1.600
-23.923,-45.912,1.600
-24.029,-45.806,1.600
-24.135,-45.700,1.600
-24.283,-45.677,1.600
-24.432,-45.654,1.600
-24.580,-45.631,1.600
-24.728,-45.609,1.600
-24.877,-45.586,1.600
-24.934,-45.447,1.600
-24.991,-45.308,1.600
-25.048,-45.170,1.600
-25.105,-45.031,1.600
-25.163,-44.892,1.600
-25.220,-44.753,1.600
-25.232,-44.604,1.600
-25.243,-44.454,1.600
-25.255,-44.305,1.600
-25.267,-44.156,1.600
-25.279,-44.006,1.600
-25.290,-43.856,1.600
-25.433,-43.809,1.600
-25.575,-43.763,1.600
-25.718,-43.716,1.600
-25.860,-43.669,1.600
-26.003,-43.622,1.600
-26.152,-43.610,1.600
-26.302,-43.598,1.600
-26.451,-43.586,1.600
-26.601,-43.574,1.600
-26.750,-43.563,1.600
-26.900,-43.551,1.600
-27.049,-43.539,1.600
-27.199,-43.537,1.600
-27.349,-43.534,1.600
-27.499,-43.532,1.600
-27.649,-43.529,1.600
-27.799,-43.527,1.600
-27.949,-43.524,1.600
-28.099,-43.522,1.600
-28.249,-43.521,1.600
-28.399,-43.521,1.600
-28.549,-43.520,1.600
-28.699,-43.520,1.600
-28.773,-43.390,1.600
-28.847,-43.259,1.600
-28.921,-43.128,1.600
-28.995,-42.998,1.600
-29.069,-42.867,1.600
-29.143,-42.737,1.600
-29.217,-42.606,1.600
-29.291,-42.476,1.600
-29.365,-42.345,1.600
-29.439,-42.215,1.600
-29.513,-42.084,1.600
-29.587,-41.954,1.600
-29.661,-41.823,1.600
-29.735,-41.693,1.600
-29.809,-41.562,1.600
-29.882,-41.432,1.600
-29.956,-41.301,1.600
-30.030,-41.171,1.600
-30.104,-41.041,1.600
-30.178,-40.910,1.600
-30.252,-40.779,1.600
-30.326,-40.649,1.600
-30.400,-40.519,1.600
-30.474,-40.388,1.600
-30.548,-40.257,1.600
-30.622,-40.127,1.600
-30.696,-39.996,1.600
-30.770,-39.866,1.600
-30.844,-39.735,1.600
-30.918,-39.605,1.600
-30.992,-39.475,1.600
-31.065,-39.344,1.600
