timestamp,coverage,synthetic_coverage,observed_coverage,done,explored_voxels,free_voxels,occupied_voxels,unknown_voxels,ground_total_cells,ground_occupied_footprint_cells,ground_footprint_occupancy_ratio,target_ground_footprint_occupancy_ratio,failed_goals,stuck_events,backtrack_events,frontier_goals,goal_source,frontier_cluster_id,branch_point_count,dead_end_count,backtrack_count,returned_to_branch_count,current_region,start_pose_x,start_pose_y,start_pose_z,start_pose_yaw,distance_from_start,max_no_progress_duration,robot_x,robot_y,robot_z,goal_x,goal_y,goal_z,path_length,goal_changed,pose_changed,newly_observed_voxels,observed_voxels,frontier_count,sensor_cloud_points,mapping_source
1780144277.099,0.030493,0.030493,0.030493,False,282,249,33,8966,1156,325,0.281142,0.500000,0,0,0,0,unknown,-1,0,0,0,0,unknown,0.000,0.000,0.000,0.000,0.000,0.000,-23.817,-46.018,1.600,0.000,0.000,0.000,0.000,True,True,0,282,139,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144277.349,0.030493,0.030493,0.030493,False,282,249,33,8966,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,1,0,0,0,entry_start_region,-23.817,-46.018,1.600,0.000,0.000,0.000,-24.029,-45.806,1.600,-31.817,-38.018,1.600,15.414,True,True,0,282,139,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144277.599,0.039792,0.039792,0.039792,False,368,328,40,8880,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,1,0,0,0,entry_start_region,-23.817,-46.018,1.600,0.000,0.000,0.000,-24.580,-45.631,1.600,-31.817,-38.018,1.600,15.414,False,True,10,368,184,100,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144277.849,0.042820,0.042820,0.042820,False,396,354,42,8852,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,2,0,0,0,entry_start_region,-23.817,-46.018,1.600,0.000,1.290,0.000,-25.105,-45.274,1.600,-31.817,-38.018,1.600,13.792,False,True,7,396,194,106,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144278.099,0.047578,0.047578,0.047578,False,440,392,48,8808,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,2,0,0,0,entry_start_region,-23.817,-46.018,1.600,0.000,1.290,0.000,-25.237,-44.691,1.600,-31.817,-38.018,1.600,13.792,False,True,10,440,207,119,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144278.349,0.052768,0.052768,0.052768,False,488,436,52,8760,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,3,0,0,0,entry_start_region,-23.817,-46.018,1.600,0.000,2.293,0.000,-25.288,-43.943,1.600,-31.817,-38.018,1.600,12.433,False,True,20,488,221,109,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144278.599,0.059256,0.059256,0.059256,False,548,494,54,8700,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,3,0,0,0,entry_start_region,-23.817,-46.018,1.600,0.000,2.293,0.000,-25.733,-43.676,1.600,-31.817,-38.018,1.600,12.433,False,True,13,548,247,95,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144278.849,0.063689,0.063689,0.063689,False,589,532,57,8659,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,3,0,0,0,branch_region,-23.817,-46.018,1.600,0.000,3.274,0.000,-26.321,-43.579,1.600,-31.817,-38.018,1.600,11.005,False,True,0,589,262,101,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144279.099,0.074503,0.074503,0.074503,False,689,615,74,8559,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,3,0,0,0,branch_region,-23.817,-46.018,1.600,0.000,3.274,0.000,-27.070,-43.533,1.600,-31.817,-38.018,1.600,11.005,False,True,18,689,260,111,simulated_local_sensor_fallback_garage_v1_mesh_bbox
1780144279.349,0.078828,0.078828,0.078828,False,729,648,81,8519,1156,325,0.281142,0.500000,0,0,0,0,startup,-1,4,0,0,0,branch_region,-23.817,-46.018,1.600,0.000,4.338,0.000,-27.670,-43.526,1.600,-31.817,-38.018,1.600,9.654,False,True,11,729,275,114,simulated_local_sensor_fallback_garage_v1_mesh_bbox
