time,robot_x,robot_y,robot_z,synthetic_coverage,observed_coverage,observed_voxels,free_voxels,occupied_voxels,unknown_voxels,frontier_count,path_length,sensor_cloud_points
1780018984.163,-9.000,-9.000,1.400,0.027917,0.027917,67,53,14,2333,36,0.000,98
1780018984.408,-9.000,-9.000,1.400,0.027917,0.027917,67,53,14,2333,36,0.000,98
1780018984.671,-8.431,-8.810,1.400,0.034583,0.034583,83,65,18,2317,44,0.600,116
1780018984.924,-7.863,-8.462,1.400,0.047500,0.047500,114,91,23,2286,55,1.358,133
1780018985.184,-7.868,-7.870,1.400,0.056667,0.056667,136,107,29,2264,61,1.950,166
1780018985.426,-7.873,-7.263,1.400,0.065417,0.065417,157,125,32,2243,76,2.558,191
1780018985.674,-7.878,-6.670,1.400,0.074167,0.074167,178,143,35,2222,87,3.151,168
1780018985.919,-7.883,-6.058,1.400,0.087500,0.087500,210,168,42,2190,101,3.763,175
1780018986.173,-7.888,-5.469,1.400,0.099583,0.099583,239,197,42,2161,120,4.351,196
1780018986.434,-7.894,-4.706,1.400,0.113750,0.113750,273,226,47,2127,130,5.114,175
1780018986.676,-7.899,-4.119,1.400,0.123750,0.123750,297,246,51,2103,142,5.702,181
1780018986.927,-7.904,-3.512,1.400,0.135417,0.135417,325,270,55,2075,138,6.309,206
1780018987.174,-7.909,-2.919,1.400,0.146667,0.146667,352,294,58,2048,152,6.901,186
1780018987.429,-7.915,-2.166,1.400,0.160000,0.160000,384,320,64,2016,165,7.654,187
1780018987.677,-7.920,-1.569,1.400,0.170000,0.170000,408,341,67,1992,168,8.252,205
1780018987.922,-7.926,-0.819,1.400,0.184583,0.184583,443,373,70,1957,176,9.002,185
1780018988.175,-7.931,-0.219,1.400,0.197917,0.197917,475,401,74,1925,195,9.602,178
1780018988.425,-7.938,0.530,1.400,0.209167,0.209167,502,426,76,1898,200,10.351,209
1780018988.670,-7.943,1.131,1.400,0.223333,0.223333,536,455,81,1864,214,10.952,187
1780018988.928,-7.948,1.730,1.400,0.239583,0.239583,575,488,87,1825,225,11.551,181
1780018989.178,-7.953,2.330,1.400,0.246667,0.246667,592,503,89,1808,230,12.151,208
1780018989.434,-7.959,3.080,1.400,0.264167,0.264167,634,538,96,1766,239,12.901,185
1780018989.675,-7.964,3.680,1.400,0.277083,0.277083,665,566,99,1735,249,13.501,182
1780018989.930,-7.970,4.429,1.400,0.285000,0.285000,684,582,102,1716,256,14.250,206
1780018990.180,-7.975,5.030,1.400,0.296667,0.296667,712,603,109,1688,248,14.851,185
1780018990.436,-7.981,5.780,1.400,0.310417,0.310417,745,633,112,1655,262,15.601,178
1780018990.679,-7.986,6.380,1.400,0.311667,0.311667,748,636,112,1652,263,16.201,206
1780018990.930,-7.993,7.129,1.400,0.318333,0.318333,764,649,115,1636,247,16.951,158
