time,robot_x,robot_y,robot_z,synthetic_coverage,observed_coverage,observed_voxels,free_voxels,occupied_voxels,unknown_voxels,frontier_count,path_length,sensor_cloud_points,mapping_source,environment_model
1780143851.412,-9.000,-9.000,1.400,0.027917,0.027917,67,53,14,2333,36,0.000,98,sensor_driven_local_simulated_lidar_camera,dense50
1780143851.673,-8.573,-8.858,1.400,0.031250,0.031250,75,59,16,2325,39,0.451,112,sensor_driven_local_simulated_lidar_camera,dense50
1780143851.923,-8.003,-8.668,1.400,0.040417,0.040417,97,78,19,2303,51,1.051,127,sensor_driven_local_simulated_lidar_camera,dense50
1780143852.172,-7.726,-8.123,1.400,0.055833,0.055833,134,107,27,2266,64,1.800,142,sensor_driven_local_simulated_lidar_camera,dense50
1780143852.422,-7.737,-7.523,1.400,0.065417,0.065417,157,123,34,2243,72,2.400,177,sensor_driven_local_simulated_lidar_camera,dense50
1780143852.659,-7.747,-6.923,1.400,0.074167,0.074167,178,142,36,2222,84,3.000,168,sensor_driven_local_simulated_lidar_camera,dense50
1780143852.917,-7.757,-6.323,1.400,0.085833,0.085833,206,165,41,2194,95,3.600,172,sensor_driven_local_simulated_lidar_camera,dense50
1780143853.177,-7.767,-5.723,1.400,0.100000,0.100000,240,197,43,2160,113,4.201,184,sensor_driven_local_simulated_lidar_camera,dense50
1780143853.426,-7.777,-5.123,1.400,0.108333,0.108333,260,213,47,2140,113,4.801,185,sensor_driven_local_simulated_lidar_camera,dense50
1780143853.674,-7.790,-4.373,1.400,0.125417,0.125417,301,248,53,2099,133,5.551,180,sensor_driven_local_simulated_lidar_camera,dense50
1780143853.926,-7.800,-3.773,1.400,0.137083,0.137083,329,274,55,2071,144,6.151,195,sensor_driven_local_simulated_lidar_camera,dense50
1780143854.178,-7.810,-3.174,1.400,0.145000,0.145000,348,292,56,2052,143,6.750,200,sensor_driven_local_simulated_lidar_camera,dense50
1780143854.429,-7.821,-2.574,1.400,0.162083,0.162083,389,324,65,2011,155,7.350,181,sensor_driven_local_simulated_lidar_camera,dense50
1780143854.680,-7.833,-1.824,1.400,0.174167,0.174167,418,350,68,1982,163,8.100,201,sensor_driven_local_simulated_lidar_camera,dense50
1780143854.930,-7.843,-1.224,1.400,0.181667,0.181667,436,367,69,1964,173,8.700,204,sensor_driven_local_simulated_lidar_camera,dense50
1780143855.178,-7.856,-0.474,1.400,0.202083,0.202083,485,408,77,1915,187,9.450,179,sensor_driven_local_simulated_lidar_camera,dense50
1780143855.429,-7.866,0.125,1.400,0.208750,0.208750,501,423,78,1899,193,10.050,199,sensor_driven_local_simulated_lidar_camera,dense50
1780143855.681,-7.879,0.875,1.400,0.221250,0.221250,531,449,82,1869,203,10.800,198,sensor_driven_local_simulated_lidar_camera,dense50
1780143855.933,-7.889,1.475,1.400,0.239167,0.239167,574,486,88,1826,223,11.400,188,sensor_driven_local_simulated_lidar_camera,dense50
1780143856.182,-7.899,2.075,1.400,0.248333,0.248333,596,505,91,1804,229,12.000,190,sensor_driven_local_simulated_lidar_camera,dense50
1780143856.430,-7.910,2.675,1.400,0.253333,0.253333,608,517,91,1792,235,12.600,206,sensor_driven_local_simulated_lidar_camera,dense50
1780143856.680,-7.922,3.425,1.400,0.279167,0.279167,670,570,100,1730,251,13.350,183,sensor_driven_local_simulated_lidar_camera,dense50
1780143856.931,-7.933,4.025,1.400,0.288333,0.288333,692,590,102,1708,260,13.950,189,sensor_driven_local_simulated_lidar_camera,dense50
1780143857.183,-7.945,4.775,1.400,0.296667,0.296667,712,607,105,1688,261,14.700,207,sensor_driven_local_simulated_lidar_camera,dense50
1780143857.435,-7.955,5.374,1.400,0.309167,0.309167,742,631,111,1658,261,15.300,181,sensor_driven_local_simulated_lidar_camera,dense50
1780143857.692,-7.968,6.124,1.400,0.312500,0.312500,750,638,112,1650,262,16.050,196,sensor_driven_local_simulated_lidar_camera,dense50
1780143857.934,-7.978,6.724,1.400,0.317500,0.317500,762,648,114,1638,260,16.650,207,sensor_driven_local_simulated_lidar_camera,dense50
1780143858.198,-7.991,7.474,1.400,0.326667,0.326667,784,667,117,1616,240,17.400,151,sensor_driven_local_simulated_lidar_camera,dense50
1780143858.430,-7.996,7.774,1.400,0.327500,0.327500,786,669,117,1614,239,17.700,135,sensor_driven_local_simulated_lidar_camera,dense50
1780143858.682,-7.833,7.355,1.400,0.331250,0.331250,795,677,118,1605,240,18.150,153,sensor_driven_local_simulated_lidar_camera,dense50
1780143858.930,-7.615,6.796,1.400,0.334583,0.334583,803,685,118,1597,245,18.750,175,sensor_driven_local_simulated_lidar_camera,dense50
1780143859.186,-7.575,6.347,1.400,0.337083,0.337083,809,691,118,1591,249,19.200,184,sensor_driven_local_simulated_lidar_camera,dense50
1780143859.428,-7.522,5.750,1.400,0.340000,0.340000,816,698,118,1584,248,19.800,174,sensor_driven_local_simulated_lidar_camera,dense50
1780143859.682,-7.514,5.300,1.400,0.341667,0.341667,820,702,118,1580,250,20.250,178,sensor_driven_local_simulated_lidar_camera,dense50
1780143859.930,-7.504,4.700,1.400,0.347500,0.347500,834,715,119,1566,249,20.850,192,sensor_driven_local_simulated_lidar_camera,dense50
1780143860.184,-7.501,3.950,1.400,0.350833,0.350833,842,721,121,1558,247,21.600,182,sensor_driven_local_simulated_lidar_camera,dense50
1780143860.436,-7.501,3.350,1.400,0.354167,0.354167,850,729,121,1550,248,22.200,180,sensor_driven_local_simulated_lidar_camera,dense50
1780143860.686,-7.500,2.750,1.400,0.361250,0.361250,867,745,122,1533,247,22.800,191,sensor_driven_local_simulated_lidar_camera,dense50
1780143860.939,-7.500,2.000,1.400,0.365417,0.365417,877,752,125,1523,240,23.550,179,sensor_driven_local_simulated_lidar_camera,dense50
1780143861.183,-7.500,1.250,1.400,0.370417,0.370417,889,764,125,1511,241,24.300,180,sensor_driven_local_simulated_lidar_camera,dense50
1780143861.434,-7.500,0.650,1.400,0.376667,0.376667,904,778,126,1496,237,24.900,194,sensor_driven_local_simulated_lidar_camera,dense50
1780143861.685,-7.500,-0.100,1.400,0.380000,0.380000,912,786,126,1488,232,25.650,184,sensor_driven_local_simulated_lidar_camera,dense50
1780143861.937,-7.500,-0.700,1.400,0.382083,0.382083,917,791,126,1483,234,26.250,183,sensor_driven_local_simulated_lidar_camera,dense50
1780143862.185,-7.500,-1.450,1.400,0.389583,0.389583,935,808,127,1465,231,27.000,196,sensor_driven_local_simulated_lidar_camera,dense50
1780143862.437,-7.500,-2.200,1.400,0.394167,0.394167,946,818,128,1454,221,27.750,182,sensor_driven_local_simulated_lidar_camera,dense50
1780143862.683,-7.500,-2.800,1.400,0.398333,0.398333,956,828,128,1444,224,28.350,182,sensor_driven_local_simulated_lidar_camera,dense50
1780143862.929,-7.500,-3.399,1.400,0.403750,0.403750,969,839,130,1431,221,28.950,193,sensor_driven_local_simulated_lidar_camera,dense50
1780143863.177,-7.500,-4.149,1.400,0.406250,0.406250,975,845,130,1425,221,29.699,176,sensor_driven_local_simulated_lidar_camera,dense50
1780143863.438,-7.500,-4.750,1.400,0.411250,0.411250,987,857,130,1413,224,30.300,172,sensor_driven_local_simulated_lidar_camera,dense50
1780143863.685,-7.500,-5.500,1.400,0.417083,0.417083,1001,868,133,1399,216,31.050,184,sensor_driven_local_simulated_lidar_camera,dense50
1780143863.937,-7.500,-6.250,1.400,0.421250,0.421250,1011,874,137,1389,214,31.800,167,sensor_driven_local_simulated_lidar_camera,dense50
1780143864.184,-6.918,-6.395,1.400,0.425833,0.425833,1022,883,139,1378,210,32.400,166,sensor_driven_local_simulated_lidar_camera,dense50
1780143864.432,-6.323,-6.456,1.400,0.431250,0.431250,1035,895,140,1365,214,33.000,180,sensor_driven_local_simulated_lidar_camera,dense50
1780143864.685,-5.724,-6.488,1.400,0.439167,0.439167,1054,910,144,1346,214,33.599,186,sensor_driven_local_simulated_lidar_camera,dense50
1780143864.938,-4.974,-6.495,1.400,0.450833,0.450833,1082,934,148,1318,220,34.350,179,sensor_driven_local_simulated_lidar_camera,dense50
1780143865.189,-4.685,-6.069,1.400,0.455000,0.455000,1092,943,149,1308,221,34.949,182,sensor_driven_local_simulated_lidar_camera,dense50
1780143865.439,-4.302,-5.708,1.400,0.463333,0.463333,1112,959,153,1288,221,35.549,187,sensor_driven_local_simulated_lidar_camera,dense50
1780143865.685,-3.721,-5.557,1.400,0.476667,0.476667,1144,987,157,1256,237,36.149,201,sensor_driven_local_simulated_lidar_camera,dense50
1780143865.937,-2.972,-5.522,1.400,0.491667,0.491667,1180,1015,165,1220,245,36.899,198,sensor_driven_local_simulated_lidar_camera,dense50
1780143866.190,-2.686,-5.086,1.400,0.506250,0.506250,1215,1049,166,1185,262,37.500,190,sensor_driven_local_simulated_lidar_camera,dense50
1780143866.441,-2.306,-4.721,1.400,0.518750,0.518750,1245,1076,169,1155,257,38.099,187,sensor_driven_local_simulated_lidar_camera,dense50
1780143866.686,-1.728,-4.562,1.400,0.525417,0.525417,1261,1091,170,1139,263,38.699,195,sensor_driven_local_simulated_lidar_camera,dense50
1780143866.941,-0.979,-4.524,1.400,0.540833,0.540833,1298,1123,175,1102,273,39.449,205,sensor_driven_local_simulated_lidar_camera,dense50
1780143867.188,-0.379,-4.511,1.400,0.559583,0.559583,1343,1160,183,1057,270,40.049,204,sensor_driven_local_simulated_lidar_camera,dense50
1780143867.438,0.221,-4.504,1.400,0.594167,0.594167,1426,1239,187,974,303,40.649,189,sensor_driven_local_simulated_lidar_camera,dense50
1780143867.682,0.422,-3.781,1.400,0.622917,0.622917,1495,1297,198,905,297,41.399,187,sensor_driven_local_simulated_lidar_camera,dense50
1780143867.924,1.002,-3.630,1.400,0.640000,0.640000,1536,1334,202,864,301,41.998,191,sensor_driven_local_simulated_lidar_camera,dense50
1780143868.194,1.742,-3.534,1.400,0.672500,0.672500,1614,1402,212,786,301,42.749,194,sensor_driven_local_simulated_lidar_camera,dense50
1780143868.444,2.342,-3.512,1.400,0.695000,0.695000,1668,1447,221,732,304,43.349,189,sensor_driven_local_simulated_lidar_camera,dense50
1780143868.691,3.092,-3.504,1.400,0.712917,0.712917,1711,1487,224,689,281,44.099,175,sensor_driven_local_simulated_lidar_camera,dense50
1780143868.943,3.692,-3.502,1.400,0.726250,0.726250,1743,1517,226,657,290,44.699,191,sensor_driven_local_simulated_lidar_camera,dense50
1780143869.189,4.292,-3.500,1.400,0.733750,0.733750,1761,1527,234,639,268,45.299,192,sensor_driven_local_simulated_lidar_camera,dense50
1780143869.446,5.042,-3.500,1.400,0.751667,0.751667,1804,1564,240,596,280,46.049,185,sensor_driven_local_simulated_lidar_camera,dense50
1780143869.686,5.324,-3.930,1.400,0.761250,0.761250,1827,1585,242,573,257,46.649,184,sensor_driven_local_simulated_lidar_camera,dense50
1780143869.939,5.433,-4.516,1.400,0.765833,0.765833,1838,1594,244,562,249,47.249,189,sensor_driven_local_simulated_lidar_camera,dense50
1780143870.192,5.484,-5.265,1.400,0.769167,0.769167,1846,1598,248,554,240,47.999,192,sensor_driven_local_simulated_lidar_camera,dense50
1780143870.443,5.492,-5.865,1.400,0.775417,0.775417,1861,1610,251,539,225,48.599,189,sensor_driven_local_simulated_lidar_camera,dense50
1780143870.694,5.497,-6.615,1.400,0.778333,0.778333,1868,1613,255,532,214,49.349,190,sensor_driven_local_simulated_lidar_camera,dense50
1780143870.951,5.499,-7.215,1.400,0.778333,0.778333,1868,1613,255,532,214,49.949,196,sensor_driven_local_simulated_lidar_camera,dense50
1780143871.192,4.850,-7.586,1.400,0.780000,0.780000,1872,1615,257,528,209,50.699,199,sensor_driven_local_simulated_lidar_camera,dense50
1780143871.439,4.311,-7.849,1.400,0.780417,0.780417,1873,1615,258,527,208,51.299,214,sensor_driven_local_simulated_lidar_camera,dense50
1780143871.694,4.743,-7.722,1.400,0.780833,0.780833,1874,1615,259,526,208,51.749,201,sensor_driven_local_simulated_lidar_camera,dense50
1780143871.944,5.217,-7.452,1.400,0.781250,0.781250,1875,1615,260,525,208,52.349,194,sensor_driven_local_simulated_lidar_camera,dense50
1780143872.195,5.431,-6.733,1.400,0.781250,0.781250,1875,1615,260,525,208,53.099,186,sensor_driven_local_simulated_lidar_camera,dense50
1780143872.447,5.464,-6.133,1.400,0.781250,0.781250,1875,1615,260,525,208,53.699,190,sensor_driven_local_simulated_lidar_camera,dense50
1780143872.697,5.488,-5.384,1.400,0.781250,0.781250,1875,1615,260,525,208,54.449,194,sensor_driven_local_simulated_lidar_camera,dense50
1780143872.940,5.496,-4.784,1.400,0.781250,0.781250,1875,1615,260,525,208,55.049,192,sensor_driven_local_simulated_lidar_camera,dense50
1780143873.196,5.498,-4.034,1.400,0.782083,0.782083,1877,1616,261,523,207,55.799,183,sensor_driven_local_simulated_lidar_camera,dense50
1780143873.446,5.207,-3.666,1.400,0.782083,0.782083,1877,1616,261,523,207,56.399,181,sensor_driven_local_simulated_lidar_camera,dense50
1780143873.697,4.466,-3.566,1.400,0.782083,0.782083,1877,1616,261,523,207,57.149,189,sensor_driven_local_simulated_lidar_camera,dense50
1780143873.950,3.718,-3.515,1.400,0.782083,0.782083,1877,1616,261,523,207,57.899,190,sensor_driven_local_simulated_lidar_camera,dense50
1780143874.194,3.118,-3.508,1.400,0.782083,0.782083,1877,1616,261,523,207,58.499,175,sensor_driven_local_simulated_lidar_camera,dense50
1780143874.442,2.518,-3.503,1.400,0.782083,0.782083,1877,1616,261,523,207,59.099,187,sensor_driven_local_simulated_lidar_camera,dense50
1780143874.690,1.768,-3.501,1.400,0.782083,0.782083,1877,1616,261,523,207,59.849,199,sensor_driven_local_simulated_lidar_camera,dense50
1780143874.944,1.168,-3.500,1.400,0.782083,0.782083,1877,1616,261,523,207,60.449,195,sensor_driven_local_simulated_lidar_camera,dense50
1780143875.196,0.713,-3.078,1.400,0.783333,0.783333,1880,1619,261,520,204,61.199,187,sensor_driven_local_simulated_lidar_camera,dense50
1780143875.447,0.319,-2.719,1.400,0.786667,0.786667,1888,1627,261,512,201,61.799,185,sensor_driven_local_simulated_lidar_camera,dense50
1780143875.691,-0.260,-2.564,1.400,0.790417,0.790417,1897,1632,265,503,201,62.399,198,sensor_driven_local_simulated_lidar_camera,dense50
1780143875.947,-1.009,-2.525,1.400,0.790417,0.790417,1897,1632,265,503,201,63.149,206,sensor_driven_local_simulated_lidar_camera,dense50
1780143876.197,-1.609,-2.512,1.400,0.792083,0.792083,1901,1636,265,499,193,63.749,198,sensor_driven_local_simulated_lidar_camera,dense50
1780143876.443,-2.209,-2.504,1.400,0.794167,0.794167,1906,1641,265,494,185,64.349,191,sensor_driven_local_simulated_lidar_camera,dense50
1780143876.696,-2.418,-1.783,1.400,0.797917,0.797917,1915,1649,266,485,173,65.099,193,sensor_driven_local_simulated_lidar_camera,dense50
1780143876.946,-2.456,-1.185,1.400,0.799583,0.799583,1919,1651,268,481,166,65.699,192,sensor_driven_local_simulated_lidar_camera,dense50
1780143877.195,-2.483,-0.436,1.400,0.801250,0.801250,1923,1655,268,477,160,66.449,198,sensor_driven_local_simulated_lidar_camera,dense50
1780143877.440,-2.494,0.164,1.400,0.803750,0.803750,1929,1660,269,471,151,67.049,190,sensor_driven_local_simulated_lidar_camera,dense50
1780143877.692,-2.497,0.914,1.400,0.810833,0.810833,1946,1676,270,454,148,67.799,189,sensor_driven_local_simulated_lidar_camera,dense50
1780143877.944,-2.499,1.515,1.400,0.812500,0.812500,1950,1680,270,450,145,68.399,192,sensor_driven_local_simulated_lidar_camera,dense50
1780143878.193,-2.500,2.265,1.400,0.814167,0.814167,1954,1683,271,446,144,69.149,186,sensor_driven_local_simulated_lidar_camera,dense50
1780143878.448,-2.500,2.865,1.400,0.827500,0.827500,1986,1711,275,414,145,69.749,180,sensor_driven_local_simulated_lidar_camera,dense50
1780143878.698,-2.500,3.615,1.400,0.829583,0.829583,1991,1715,276,409,141,70.499,184,sensor_driven_local_simulated_lidar_camera,dense50
1780143878.944,-2.500,4.215,1.400,0.830833,0.830833,1994,1716,278,406,142,71.099,180,sensor_driven_local_simulated_lidar_camera,dense50
1780143879.192,-2.500,4.964,1.400,0.850000,0.850000,2040,1757,283,360,156,71.849,188,sensor_driven_local_simulated_lidar_camera,dense50
1780143879.445,-2.500,5.564,1.400,0.853333,0.853333,2048,1762,286,352,153,72.448,192,sensor_driven_local_simulated_lidar_camera,dense50
1780143879.697,-2.879,6.106,1.400,0.855833,0.855833,2054,1767,287,346,156,73.198,197,sensor_driven_local_simulated_lidar_camera,dense50
1780143879.946,-3.259,6.347,1.400,0.857917,0.857917,2059,1772,287,341,159,73.649,205,sensor_driven_local_simulated_lidar_camera,dense50
1780143880.199,-2.965,6.406,1.400,0.858333,0.858333,2060,1773,287,340,158,73.949,193,sensor_driven_local_simulated_lidar_camera,dense50
1780143880.444,-2.673,6.010,1.400,0.858750,0.858750,2061,1774,287,339,157,74.549,191,sensor_driven_local_simulated_lidar_camera,dense50
1780143880.688,-2.137,5.634,1.400,0.860833,0.860833,2066,1778,288,334,157,75.298,187,sensor_driven_local_simulated_lidar_camera,dense50
1780143880.947,-1.546,5.536,1.400,0.865833,0.865833,2078,1789,289,322,158,75.898,203,sensor_driven_local_simulated_lidar_camera,dense50
1780143881.191,-0.797,5.510,1.400,0.874583,0.874583,2099,1806,293,301,161,76.648,206,sensor_driven_local_simulated_lidar_camera,dense50
1780143881.442,-0.197,5.505,1.400,0.883750,0.883750,2121,1824,297,279,152,77.248,196,sensor_driven_local_simulated_lidar_camera,dense50
1780143881.693,0.269,5.085,1.400,0.889583,0.889583,2135,1837,298,265,156,77.998,190,sensor_driven_local_simulated_lidar_camera,dense50
1780143881.952,0.669,4.727,1.400,0.894167,0.894167,2146,1846,300,254,156,78.599,195,sensor_driven_local_simulated_lidar_camera,dense50
1780143882.195,1.247,4.569,1.400,0.901667,0.901667,2164,1863,301,236,164,79.199,204,sensor_driven_local_simulated_lidar_camera,dense50
1780143882.449,1.996,4.528,1.400,0.910833,0.910833,2186,1883,303,214,165,79.948,197,sensor_driven_local_simulated_lidar_camera,dense50
1780143882.700,2.385,4.070,1.400,0.916250,0.916250,2199,1895,304,201,167,80.698,196,sensor_driven_local_simulated_lidar_camera,dense50
1780143882.952,2.457,3.477,1.400,0.928750,0.928750,2229,1920,309,171,165,81.298,197,sensor_driven_local_simulated_lidar_camera,dense50
1780143883.204,2.490,2.727,1.400,0.937083,0.937083,2249,1935,314,151,158,82.048,185,sensor_driven_local_simulated_lidar_camera,dense50
1780143883.442,2.495,2.127,1.400,0.939583,0.939583,2255,1940,315,145,147,82.648,182,sensor_driven_local_simulated_lidar_camera,dense50
