x,y,z
-9.000,-9.000,1.400
-8.858,-8.953,1.400
-8.715,-8.905,1.400
-8.573,-8.858,1.400
-8.430,-8.810,1.400
-8.288,-8.763,1.400
-8.146,-8.715,1.400
-8.003,-8.668,1.400
-7.861,-8.620,1.400
-7.719,-8.573,1.400
-7.721,-8.423,1.400
-7.724,-8.273,1.400
-7.726,-8.123,1.400
-7.729,-7.973,1.400
-7.732,-7.823,1.400
-7.734,-7.673,1.400
-7.737,-7.523,1.400
-7.739,-7.373,1.400
-7.742,-7.223,1.400
-7.744,-7.073,1.400
-7.747,-6.923,1.400
-7.749,-6.773,1.400
-7.752,-6.624,1.400
-7.754,-6.473,1.400
-7.757,-6.323,1.400
-7.760,-6.173,1.400
-7.762,-6.023,1.400
-7.765,-5.873,1.400
-7.767,-5.723,1.400
-7.770,-5.573,1.400
-7.772,-5.423,1.400
-7.775,-5.273,1.400
-7.777,-5.123,1.400
-7.780,-4.973,1.400
-7.782,-4.823,1.400
-7.785,-4.673,1.400
-7.787,-4.523,1.400
-7.790,-4.373,1.400
-7.793,-4.224,1.400
-7.795,-4.074,1.400
-7.798,-3.924,1.400
-7.800,-3.773,1.400
-7.803,-3.624,1.400
-7.805,-3.474,1.400
-7.808,-3.324,1.400
-7.810,-3.174,1.400
-7.813,-3.024,1.400
-7.815,-2.874,1.400
-7.818,-2.724,1.400
-7.821,-2.574,1.400
-7.823,-2.424,1.400
-7.826,-2.274,1.400
-7.828,-2.124,1.400
-7.831,-1.974,1.400
-7.833,-1.824,1.400
-7.836,-1.674,1.400
-7.838,-1.524,1.400
-7.841,-1.374,1.400
-7.843,-1.224,1.400
-7.846,-1.074,1.400
-7.849,-0.924,1.400
-7.851,-0.774,1.400
-7.854,-0.624,1.400
-7.856,-0.474,1.400
-7.859,-0.324,1.400
-7.861,-0.174,1.400
-7.864,-0.025,1.400
-7.866,0.125,1.400
-7.869,0.275,1.400
-7.871,0.425,1.400
-7.874,0.575,1.400
-7.877,0.725,1.400
-7.879,0.875,1.400
-7.882,1.025,1.400
-7.884,1.175,1.400
-7.887,1.325,1.400
-7.889,1.475,1.400
-7.892,1.625,1.400
-7.894,1.775,1.400
-7.897,1.925,1.400
-7.899,2.075,1.400
-7.902,2.225,1.400
-7.905,2.375,1.400
-7.907,2.525,1.400
-7.910,2.675,1.400
-7.912,2.825,1.400
-7.915,2.975,1.400
-7.917,3.125,1.400
-7.920,3.275,1.400
-7.922,3.425,1.400
-7.925,3.575,1.400
-7.927,3.725,1.400
-7.930,3.875,1.400
-7.933,4.025,1.400
-7.935,4.175,1.400
-7.938,4.325,1.400
-7.940,4.475,1.400
-7.943,4.625,1.400
-7.945,4.775,1.400
-7.948,4.924,1.400
-7.950,5.075,1.400
-7.953,5.225,1.400
-7.955,5.374,1.400
-7.958,5.524,1.400
-7.961,5.674,1.400
-7.963,5.824,1.400
-7.966,5.974,1.400
-7.968,6.124,1.400
-7.971,6.274,1.400
-7.973,6.424,1.400
-7.976,6.574,1.400
-7.978,6.724,1.400
-7.981,6.874,1.400
-7.983,7.024,1.400
-7.986,7.174,1.400
-7.989,7.324,1.400
-7.991,7.474,1.400
-7.994,7.624,1.400
-7.996,7.774,1.400
-7.942,7.634,1.400
-7.887,7.494,1.400
-7.833,7.355,1.400
-7.778,7.215,1.400
-7.724,7.075,1.400
-7.670,6.935,1.400
-7.615,6.796,1.400
-7.602,6.646,1.400
-7.589,6.497,1.400
-7.575,6.347,1.400
-7.562,6.198,1.400
-7.549,6.049,1.400
-7.535,5.899,1.400
-7.522,5.750,1.400
-7.520,5.600,1.400
-7.517,5.450,1.400
-7.514,5.300,1.400
-7.512,5.150,1.400
-7.509,4.999,1.400
-7.506,4.850,1.400
-7.504,4.700,1.400
-7.503,4.550,1.400
-7.503,4.399,1.400
-7.502,4.250,1.400
-7.502,4.100,1.400
-7.501,3.950,1.400
-7.501,3.800,1.400
-7.501,3.650,1.400
-7.501,3.500,1.400
-7.501,3.350,1.400
-7.500,3.200,1.400
-7.500,3.050,1.400
-7.500,2.900,1.400
-7.500,2.750,1.400
-7.500,2.600,1.400
-7.500,2.450,1.400
-7.500,2.300,1.400
-7.500,2.150,1.400
-7.500,2.000,1.400
-7.500,1.850,1.400
-7.500,1.700,1.400
-7.500,1.550,1.400
-7.500,1.400,1.400
-7.500,1.250,1.400
-7.500,1.100,1.400
-7.500,0.950,1.400
-7.500,0.800,1.400
-7.500,0.650,1.400
-7.500,0.500,1.400
-7.500,0.350,1.400
-7.500,0.200,1.400
-7.500,0.050,1.400
-7.500,-0.100,1.400
-7.500,-0.250,1.400
-7.500,-0.400,1.400
-7.500,-0.550,1.400
-7.500,-0.700,1.400
-7.500,-0.850,1.400
-7.500,-1.000,1.400
-7.500,-1.150,1.400
-7.500,-1.300,1.400
-7.500,-1.450,1.400
-7.500,-1.600,1.400
-7.500,-1.750,1.400
-7.500,-1.900,1.400
-7.500,-2.050,1.400
-7.500,-2.200,1.400
-7.500,-2.350,1.400
-7.500,-2.500,1.400
-7.500,-2.650,1.400
-7.500,-2.800,1.400
-7.500,-2.950,1.400
-7.500,-3.100,1.400
-7.500,-3.250,1.400
-7.500,-3.399,1.400
-7.500,-3.549,1.400
-7.500,-3.699,1.400
-7.500,-3.849,1.400
-7.500,-3.999,1.400
-7.500,-4.149,1.400
-7.500,-4.299,1.400
-7.500,-4.449,1.400
-7.500,-4.599,1.400
-7.500,-4.750,1.400
-7.500,-4.900,1.400
-7.500,-5.050,1.400
-7.500,-5.200,1.400
-7.500,-5.350,1.400
-7.500,-5.500,1.400
-7.500,-5.650,1.400
-7.500,-5.800,1.400
-7.500,-5.950,1.400
-7.500,-6.100,1.400
-7.500,-6.250,1.400
-7.355,-6.286,1.400
-7.209,-6.323,1.400
-7.064,-6.359,1.400
-6.918,-6.395,1.400
-6.773,-6.432,1.400
-6.623,-6.440,1.400
-6.473,-6.448,1.400
-6.323,-6.456,1.400
-6.174,-6.464,1.400
-6.024,-6.472,1.400
-5.874,-6.480,1.400
-5.724,-6.488,1.400
-5.574,-6.489,1.400
-5.424,-6.491,1.400
-5.275,-6.492,1.400
-5.124,-6.494,1.400
-4.974,-6.495,1.400
-4.825,-6.497,1.400
-4.778,-6.354,1.400
-4.732,-6.212,1.400
-4.685,-6.069,1.400
-4.639,-5.927,1.400
-4.592,-5.784,1.400
-4.447,-5.746,1.400
-4.302,-5.708,1.400
-4.157,-5.670,1.400
-4.012,-5.633,1.400
-3.866,-5.595,1.400
-3.721,-5.557,1.400
-3.572,-5.550,1.400
-3.422,-5.543,1.400
-3.272,-5.536,1.400
-3.122,-5.529,1.400
-2.972,-5.522,1.400
-2.822,-5.515,1.400
-2.777,-5.372,1.400
-2.731,-5.229,1.400
-2.686,-5.086,1.400
-2.641,-4.943,1.400
-2.595,-4.800,1.400
-2.451,-4.761,1.400
-2.306,-4.721,1.400
-2.161,-4.681,1.400
-2.017,-4.642,1.400
-1.872,-4.602,1.400
-1.728,-4.562,1.400
-1.578,-4.555,1.400
-1.428,-4.547,1.400
-1.278,-4.540,1.400
-1.129,-4.532,1.400
-0.979,-4.524,1.400
-0.829,-4.517,1.400
-0.679,-4.515,1.400
-0.530,-4.513,1.400
-0.379,-4.511,1.400
-0.229,-4.509,1.400
-0.079,-4.507,1.400
0.071,-4.505,1.400
0.221,-4.504,1.400
0.261,-4.359,1.400
0.301,-4.214,1.400
0.341,-4.070,1.400
0.382,-3.926,1.400
0.422,-3.781,1.400
0.567,-3.743,1.400
0.712,-3.705,1.400
0.857,-3.667,1.400
1.002,-3.630,1.400
1.148,-3.592,1.400
1.293,-3.554,1.400
1.442,-3.547,1.400
1.593,-3.541,1.400
1.742,-3.534,1.400
1.892,-3.527,1.400
2.042,-3.520,1.400
2.192,-3.514,1.400
2.342,-3.512,1.400
2.492,-3.511,1.400
2.642,-3.509,1.400
2.792,-3.507,1.400
2.942,-3.506,1.400
3.092,-3.504,1.400
3.242,-3.503,1.400
3.392,-3.502,1.400
3.542,-3.502,1.400
3.692,-3.502,1.400
3.842,-3.501,1.400
3.992,-3.501,1.400
4.142,-3.501,1.400
4.292,-3.500,1.400
4.442,-3.500,1.400
4.592,-3.500,1.400
4.742,-3.500,1.400
4.892,-3.500,1.400
5.042,-3.500,1.400
5.192,-3.500,1.400
5.236,-3.643,1.400
5.280,-3.787,1.400
5.324,-3.930,1.400
5.368,-4.073,1.400
5.413,-4.217,1.400
5.423,-4.366,1.400
5.433,-4.516,1.400
5.443,-4.666,1.400
5.453,-4.815,1.400
5.464,-4.965,1.400
5.474,-5.115,1.400
5.484,-5.265,1.400
5.486,-5.415,1.400
5.488,-5.565,1.400
5.490,-5.715,1.400
5.492,-5.865,1.400
5.494,-6.015,1.400
5.496,-6.165,1.400
5.496,-6.315,1.400
5.497,-6.465,1.400
5.497,-6.615,1.400
5.498,-6.765,1.400
5.498,-6.915,1.400
5.499,-7.065,1.400
5.499,-7.215,1.400
5.377,-7.302,1.400
5.255,-7.389,1.400
5.120,-7.455,1.400
4.985,-7.520,1.400
4.850,-7.586,1.400
4.716,-7.652,1.400
4.581,-7.717,1.400
4.446,-7.783,1.400
4.311,-7.849,1.400
4.460,-7.805,1.400
4.599,-7.764,1.400
4.743,-7.722,1.400
4.887,-7.680,1.400
5.031,-7.638,1.400
5.175,-7.595,1.400
5.217,-7.452,1.400
5.260,-7.308,1.400
5.303,-7.164,1.400
5.345,-7.020,1.400
5.388,-6.876,1.400
5.431,-6.733,1.400
5.439,-6.583,1.400
5.448,-6.433,1.400
5.456,-6.283,1.400
5.464,-6.133,1.400
5.473,-5.984,1.400
5.481,-5.834,1.400
5.483,-5.684,1.400
5.485,-5.534,1.400
5.488,-5.384,1.400
5.490,-5.234,1.400
5.492,-5.084,1.400
5.494,-4.934,1.400
5.496,-4.784,1.400
5.496,-4.634,1.400
5.497,-4.484,1.400
5.497,-4.334,1.400
5.498,-4.184,1.400
5.498,-4.034,1.400
5.499,-3.884,1.400
5.499,-3.734,1.400
5.353,-3.700,1.400
5.207,-3.666,1.400
5.061,-3.631,1.400
4.915,-3.597,1.400
4.765,-3.587,1.400
4.615,-3.577,1.400
4.466,-3.566,1.400
4.316,-3.556,1.400
4.167,-3.546,1.400
4.017,-3.536,1.400
3.868,-3.525,1.400
3.718,-3.515,1.400
3.568,-3.513,1.400
3.418,-3.511,1.400
3.268,-3.509,1.400
3.118,-3.508,1.400
2.968,-3.506,1.400
2.818,-3.504,1.400
2.667,-3.503,1.400
2.518,-3.503,1.400
2.368,-3.503,1.400
2.218,-3.502,1.400
2.068,-3.502,1.400
1.918,-3.501,1.400
1.768,-3.501,1.400
1.618,-3.501,1.400
1.468,-3.501,1.400
1.318,-3.501,1.400
1.168,-3.500,1.400
1.018,-3.500,1.400
0.868,-3.500,1.400
0.816,-3.359,1.400
0.765,-3.219,1.400
0.713,-3.078,1.400
0.661,-2.937,1.400
0.609,-2.796,1.400
0.464,-2.758,1.400
0.319,-2.719,1.400
0.174,-2.680,1.400
0.029,-2.641,1.400
-0.115,-2.603,1.400
-0.260,-2.564,1.400
-0.410,-2.556,1.400
-0.560,-2.549,1.400
-0.710,-2.541,1.400
-0.860,-2.533,1.400
-1.009,-2.525,1.400
-1.159,-2.518,1.400
-1.309,-2.516,1.400
-1.459,-2.514,1.400
-1.609,-2.512,1.400
-1.759,-2.510,1.400
-1.909,-2.508,1.400
-2.059,-2.506,1.400
-2.209,-2.504,1.400
-2.251,-2.360,1.400
-2.293,-2.216,1.400
-2.334,-2.072,1.400
-2.376,-1.928,1.400
-2.418,-1.783,1.400
-2.427,-1.634,1.400
-2.437,-1.484,1.400
-2.447,-1.334,1.400
-2.456,-1.185,1.400
-2.466,-1.035,1.400
-2.475,-0.885,1.400
-2.478,-0.736,1.400
-2.481,-0.586,1.400
-2.483,-0.436,1.400
-2.486,-0.285,1.400
-2.489,-0.136,1.400
-2.491,0.014,1.400
-2.494,0.164,1.400
-2.495,0.314,1.400
-2.495,0.464,1.400
-2.496,0.614,1.400
-2.497,0.764,1.400
-2.497,0.914,1.400
-2.498,1.064,1.400
-2.499,1.215,1.400
-2.499,1.364,1.400
-2.499,1.515,1.400
-2.499,1.665,1.400
-2.499,1.815,1.400
-2.499,1.964,1.400
-2.500,2.115,1.400
-2.500,2.265,1.400
-2.500,2.415,1.400
-2.500,2.565,1.400
-2.500,2.715,1.400
-2.500,2.865,1.400
-2.500,3.015,1.400
-2.500,3.165,1.400
-2.500,3.315,1.400
-2.500,3.465,1.400
-2.500,3.615,1.400
-2.500,3.765,1.400
-2.500,3.915,1.400
-2.500,4.065,1.400
-2.500,4.215,1.400
-2.500,4.365,1.400
-2.500,4.515,1.400
-2.500,4.664,1.400
-2.500,4.815,1.400
-2.500,4.964,1.400
-2.500,5.115,1.400
-2.500,5.264,1.400
-2.500,5.414,1.400
-2.500,5.564,1.400
-2.500,5.714,1.400
-2.500,5.864,1.400
-2.626,5.944,1.400
-2.753,6.025,1.400
-2.879,6.106,1.400
-3.006,6.186,1.400
-3.132,6.266,1.400
-3.259,6.347,1.400
-3.112,6.377,1.400
-2.965,6.406,1.400
-2.818,6.436,1.400
-2.770,6.294,1.400
-2.722,6.152,1.400
-2.673,6.010,1.400
-2.625,5.868,1.400
-2.577,5.726,1.400
-2.430,5.695,1.400
-2.283,5.664,1.400
-2.137,5.634,1.400
-1.990,5.603,1.400
-1.843,5.572,1.400
-1.696,5.541,1.400
-1.546,5.536,1.400
-1.396,5.531,1.400
-1.246,5.526,1.400
-1.097,5.521,1.400
-0.947,5.515,1.400
-0.797,5.510,1.400
-0.647,5.509,1.400
-0.497,5.508,1.400
-0.347,5.507,1.400
-0.197,5.505,1.400
-0.047,5.504,1.400
0.103,5.503,1.400
0.158,5.364,1.400
0.214,5.224,1.400
0.269,5.085,1.400
0.324,4.945,1.400
0.379,4.806,1.400
0.524,4.766,1.400
0.669,4.727,1.400
0.813,4.687,1.400
0.959,4.647,1.400
1.102,4.608,1.400
1.247,4.569,1.400
1.397,4.561,1.400
1.547,4.552,1.400
1.697,4.544,1.400
1.846,4.536,1.400
1.996,4.528,1.400
2.146,4.519,1.400
2.296,4.511,1.400
2.326,4.364,1.400
2.355,4.217,1.400
2.385,4.070,1.400
2.415,3.923,1.400
2.444,3.776,1.400
2.451,3.626,1.400
2.457,3.477,1.400
2.464,3.327,1.400
2.470,3.177,1.400
2.477,3.027,1.400
2.484,2.877,1.400
2.490,2.727,1.400
2.491,2.577,1.400
2.493,2.427,1.400
2.494,2.277,1.400
2.495,2.127,1.400
2.496,1.977,1.400
2.497,1.827,1.400
2.498,1.677,1.400
2.498,1.527,1.400
2.498,1.377,1.400
